2018-07-31 00:29:37 startup archives install
2018-07-31 00:29:37 install base-passwd:arm64 <none> 3.5.39
2018-07-31 00:29:37 status half-installed base-passwd:arm64 3.5.39
2018-07-31 00:29:37 status unpacked base-passwd:arm64 3.5.39
2018-07-31 00:29:37 status unpacked base-passwd:arm64 3.5.39
2018-07-31 00:29:37 configure base-passwd:arm64 3.5.39 3.5.39
2018-07-31 00:29:37 status unpacked base-passwd:arm64 3.5.39
2018-07-31 00:29:37 status half-configured base-passwd:arm64 3.5.39
2018-07-31 00:29:37 status installed base-passwd:arm64 3.5.39
2018-07-31 00:29:37 startup archives install
2018-07-31 00:29:37 install base-files:arm64 <none> 9.4ubuntu4
2018-07-31 00:29:37 status half-installed base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 configure base-files:arm64 9.4ubuntu4 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status unpacked base-files:arm64 9.4ubuntu4
2018-07-31 00:29:37 status half-configured base-files:arm64 9.4ubuntu4
2018-07-31 00:29:38 status installed base-files:arm64 9.4ubuntu4
2018-07-31 00:29:38 startup archives install
2018-07-31 00:29:38 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2018-07-31 00:29:38 status half-configured dpkg 1.18.4ubuntu1
2018-07-31 00:29:38 status unpacked dpkg 1.18.4ubuntu1
2018-07-31 00:29:38 status half-installed dpkg 1.18.4ubuntu1
2018-07-31 00:29:38 status half-installed dpkg 1.18.4ubuntu1
2018-07-31 00:29:38 status unpacked dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:38 status unpacked dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:38 configure dpkg:arm64 1.18.4ubuntu1 1.18.4ubuntu1
2018-07-31 00:29:38 status unpacked dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:38 status unpacked dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:38 status unpacked dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:38 status unpacked dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:38 status unpacked dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:38 status half-configured dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:38 status installed dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:38 startup archives install
2018-07-31 00:29:38 install libc6:arm64 <none> 2.23-0ubuntu3
2018-07-31 00:29:38 status half-installed libc6:arm64 2.23-0ubuntu3
2018-07-31 00:29:40 status unpacked libc6:arm64 2.23-0ubuntu3
2018-07-31 00:29:40 status unpacked libc6:arm64 2.23-0ubuntu3
2018-07-31 00:29:40 configure libc6:arm64 2.23-0ubuntu3 2.23-0ubuntu3
2018-07-31 00:29:40 status unpacked libc6:arm64 2.23-0ubuntu3
2018-07-31 00:29:40 status unpacked libc6:arm64 2.23-0ubuntu3
2018-07-31 00:29:40 status half-configured libc6:arm64 2.23-0ubuntu3
2018-07-31 00:29:40 status installed libc6:arm64 2.23-0ubuntu3
2018-07-31 00:29:40 startup archives install
2018-07-31 00:29:40 install perl-base:arm64 <none> 5.22.1-9
2018-07-31 00:29:40 status half-installed perl-base:arm64 5.22.1-9
2018-07-31 00:29:42 status unpacked perl-base:arm64 5.22.1-9
2018-07-31 00:29:42 status unpacked perl-base:arm64 5.22.1-9
2018-07-31 00:29:42 configure perl-base:arm64 5.22.1-9 5.22.1-9
2018-07-31 00:29:42 status unpacked perl-base:arm64 5.22.1-9
2018-07-31 00:29:42 status half-configured perl-base:arm64 5.22.1-9
